RISE LIMIT,SINK LIMIT,COOL-OFF SPAN,GRAND PERCENT CHANGE
1,1,1,41
1,1,2,39
1,1,3,26
1,1,5,20
1,1,8,15
1,1,14,11
1,1,23,6
1,1,37,3
1,1,61,3
1,1,100,-0
1,2,1,49
1,2,2,43
1,2,3,32
1,2,5,28
1,2,8,18
1,2,14,13
1,2,23,10
1,2,37,4
1,2,61,2
1,2,100,0
1,3,1,51
1,3,2,44
1,3,3,35
1,3,5,30
1,3,8,22
1,3,14,14
1,3,23,13
1,3,37,6
1,3,61,2
1,3,100,2
1,5,1,56
1,5,2,48
1,5,3,39
1,5,5,37
1,5,8,28
1,5,14,20
1,5,23,15
1,5,37,11
1,5,61,6
1,5,100,5
1,8,1,59
1,8,2,49
1,8,3,44
1,8,5,42
1,8,8,33
1,8,14,25
1,8,23,19
1,8,37,13
1,8,61,8
1,8,100,8
1,14,1,61
1,14,2,57
1,14,3,51
1,14,5,50
1,14,8,43
1,14,14,36
1,14,23,26
1,14,37,19
1,14,61,11
1,14,100,10
1,23,1,62
1,23,2,59
1,23,3,57
1,23,5,54
1,23,8,47
1,23,14,42
1,23,23,31
1,23,37,24
1,23,61,15
1,23,100,13
1,37,1,62
1,37,2,59
1,37,3,59
1,37,5,56
1,37,8,49
1,37,14,44
1,37,23,32
1,37,37,26
1,37,61,16
1,37,100,14
1,61,1,60
1,61,2,59
1,61,3,58
1,61,5,56
1,61,8,50
1,61,14,45
1,61,23,34
1,61,37,28
1,61,61,18
1,61,100,15
1,100,1,58
1,100,2,58
1,100,3,57
1,100,5,55
1,100,8,49
1,100,14,44
1,100,23,34
1,100,37,28
1,100,61,18
1,100,100,16
2,1,1,42
2,1,2,42
2,1,3,32
2,1,5,23
2,1,8,17
2,1,14,12
2,1,23,9
2,1,37,2
2,1,61,1
2,1,100,1
2,2,1,51
2,2,2,48
2,2,3,39
2,2,5,29
2,2,8,24
2,2,14,14
2,2,23,11
2,2,37,5
2,2,61,2
2,2,100,4
2,3,1,53
2,3,2,51
2,3,3,42
2,3,5,34
2,3,8,27
2,3,14,16
2,3,23,15
2,3,37,6
2,3,61,4
2,3,100,4
2,5,1,57
2,5,2,53
2,5,3,46
2,5,5,41
2,5,8,33
2,5,14,22
2,5,23,19
2,5,37,14
2,5,61,8
2,5,100,7
2,8,1,60
2,8,2,53
2,8,3,50
2,8,5,46
2,8,8,39
2,8,14,31
2,8,23,25
2,8,37,18
2,8,61,11
2,8,100,11
2,14,1,62
2,14,2,58
2,14,3,57
2,14,5,53
2,14,8,48
2,14,14,41
2,14,23,31
2,14,37,26
2,14,61,17
2,14,100,14
2,23,1,62
2,23,2,60
2,23,3,60
2,23,5,57
2,23,8,52
2,23,14,47
2,23,23,37
2,23,37,30
2,23,61,20
2,23,100,17
2,37,1,62
2,37,2,61
2,37,3,61
2,37,5,58
2,37,8,54
2,37,14,49
2,37,23,39
2,37,37,33
2,37,61,22
2,37,100,18
2,61,1,60
2,61,2,60
2,61,3,60
2,61,5,57
2,61,8,54
2,61,14,50
2,61,23,40
2,61,37,35
2,61,61,24
2,61,100,19
2,100,1,59
2,100,2,58
2,100,3,58
2,100,5,56
2,100,8,53
2,100,14,49
2,100,23,40
2,100,37,35
2,100,61,25
2,100,100,20
3,1,1,48
3,1,2,46
3,1,3,35
3,1,5,28
3,1,8,19
3,1,14,13
3,1,23,11
3,1,37,4
3,1,61,-0
3,1,100,3
3,2,1,55
3,2,2,51
3,2,3,40
3,2,5,33
3,2,8,26
3,2,14,16
3,2,23,14
3,2,37,7
3,2,61,3
3,2,100,6
3,3,1,57
3,3,2,51
3,3,3,46
3,3,5,38
3,3,8,31
3,3,14,20
3,3,23,16
3,3,37,8
3,3,61,6
3,3,100,6
3,5,1,61
3,5,2,53
3,5,3,48
3,5,5,45
3,5,8,35
3,5,14,27
3,5,23,21
3,5,37,15
3,5,61,11
3,5,100,7
3,8,1,61
3,8,2,55
3,8,3,53
3,8,5,49
3,8,8,40
3,8,14,35
3,8,23,29
3,8,37,22
3,8,61,16
3,8,100,12
3,14,1,63
3,14,2,59
3,14,3,57
3,14,5,56
3,14,8,51
3,14,14,45
3,14,23,36
3,14,37,30
3,14,61,22
3,14,100,17
3,23,1,63
3,23,2,61
3,23,3,61
3,23,5,59
3,23,8,55
3,23,14,50
3,23,23,43
3,23,37,34
3,23,61,26
3,23,100,20
3,37,1,63
3,37,2,61
3,37,3,61
3,37,5,60
3,37,8,56
3,37,14,52
3,37,23,45
3,37,37,37
3,37,61,29
3,37,100,22
3,61,1,61
3,61,2,60
3,61,3,60
3,61,5,58
3,61,8,55
3,61,14,52
3,61,23,46
3,61,37,39
3,61,61,30
3,61,100,24
3,100,1,60
3,100,2,59
3,100,3,59
3,100,5,57
3,100,8,54
3,100,14,51
3,100,23,45
3,100,37,39
3,100,61,30
3,100,100,24
5,1,1,53
5,1,2,48
5,1,3,39
5,1,5,32
5,1,8,24
5,1,14,16
5,1,23,13
5,1,37,8
5,1,61,1
5,1,100,4
5,2,1,58
5,2,2,53
5,2,3,45
5,2,5,39
5,2,8,32
5,2,14,20
5,2,23,17
5,2,37,14
5,2,61,6
5,2,100,6
5,3,1,60
5,3,2,53
5,3,3,48
5,3,5,42
5,3,8,37
5,3,14,23
5,3,23,21
5,3,37,14
5,3,61,10
5,3,100,7
5,5,1,61
5,5,2,55
5,5,3,51
5,5,5,49
5,5,8,40
5,5,14,29
5,5,23,27
5,5,37,20
5,5,61,15
5,5,100,10
5,8,1,63
5,8,2,57
5,8,3,56
5,8,5,52
5,8,8,46
5,8,14,39
5,8,23,35
5,8,37,26
5,8,61,21
5,8,100,16
5,14,1,63
5,14,2,61
5,14,3,61
5,14,5,57
5,14,8,55
5,14,14,50
5,14,23,44
5,14,37,35
5,14,61,29
5,14,100,23
5,23,1,63
5,23,2,63
5,23,3,62
5,23,5,61
5,23,8,58
5,23,14,55
5,23,23,49
5,23,37,41
5,23,61,34
5,23,100,25
5,37,1,63
5,37,2,62
5,37,3,62
5,37,5,60
5,37,8,59
5,37,14,56
5,37,23,51
5,37,37,45
5,37,61,38
5,37,100,28
5,61,1,61
5,61,2,61
5,61,3,61
5,61,5,60
5,61,8,58
5,61,14,56
5,61,23,52
5,61,37,46
5,61,61,38
5,61,100,30
5,100,1,60
5,100,2,59
5,100,3,59
5,100,5,58
5,100,8,57
5,100,14,55
5,100,23,51
5,100,37,46
5,100,61,39
5,100,100,30
8,1,1,55
8,1,2,52
8,1,3,44
8,1,5,38
8,1,8,29
8,1,14,19
8,1,23,17
8,1,37,9
8,1,61,4
